cve_ent_mun,fecha,confirmados,decesos,pruebas,indice_vulnerabilidad
21035,12/4/2020,0,0,2,vulnerabilidad media
21036,12/4/2020,0,0,0,vulnerabilidad media
21037,12/4/2020,0,0,0,vulnerabilidad baja
21038,12/4/2020,0,0,0,vulnerabilidad muy alta
21039,12/4/2020,0,0,0,vulnerabilidad media
21040,12/4/2020,0,0,0,vulnerabilidad alta
21041,12/4/2020,3,0,21,vulnerabilidad media
21042,12/4/2020,0,0,0,vulnerabilidad media
21043,12/4/2020,0,0,1,vulnerabilidad media
21044,12/4/2020,0,0,0,vulnerabilidad baja
21045,12/4/2020,2,0,5,vulnerabilidad baja
21046,12/4/2020,0,0,0,vulnerabilidad media
21047,12/4/2020,1,0,4,vulnerabilidad baja
21048,12/4/2020,1,0,4,vulnerabilidad media
21049,12/4/2020,0,0,0,vulnerabilidad media
21050,12/4/2020,0,1,1,vulnerabilidad media
21051,12/4/2020,3,0,7,vulnerabilidad baja
21052,12/4/2020,0,0,0,vulnerabilidad baja
21053,12/4/2020,1,0,3,vulnerabilidad baja
21054,12/4/2020,0,0,2,vulnerabilidad media
21055,12/4/2020,0,0,0,vulnerabilidad media
21056,12/4/2020,1,0,1,vulnerabilidad media
21057,12/4/2020,0,0,1,vulnerabilidad media
21058,12/4/2020,0,0,0,vulnerabilidad media
21059,12/4/2020,1,0,2,vulnerabilidad media
21060,12/4/2020,0,0,0,vulnerabilidad muy alta
21061,12/4/2020,0,0,0,vulnerabilidad media
21062,12/4/2020,0,0,0,vulnerabilidad media
21063,12/4/2020,0,0,0,vulnerabilidad baja
21064,12/4/2020,0,0,0,vulnerabilidad media
21065,12/4/2020,0,0,0,vulnerabilidad media
21066,12/4/2020,0,0,0,vulnerabilidad baja
21067,12/4/2020,0,0,0,vulnerabilidad baja
21068,12/4/2020,0,0,0,vulnerabilidad media
21069,12/4/2020,2,1,3,vulnerabilidad media
21070,12/4/2020,0,0,1,vulnerabilidad alta
21071,12/4/2020,0,0,4,vulnerabilidad media
21072,12/4/2020,0,0,1,vulnerabilidad alta
21073,12/4/2020,0,0,0,vulnerabilidad baja
21074,12/4/2020,1,0,12,vulnerabilidad media
21075,12/4/2020,0,0,0,vulnerabilidad media
21076,12/4/2020,0,0,0,vulnerabilidad media
21077,12/4/2020,0,0,0,vulnerabilidad media
21078,12/4/2020,0,0,0,vulnerabilidad baja
21079,12/4/2020,0,0,0,vulnerabilidad alta
21080,12/4/2020,0,0,0,vulnerabilidad baja
21081,12/4/2020,0,0,0,vulnerabilidad media
21082,12/4/2020,0,0,0,vulnerabilidad baja
21083,12/4/2020,0,0,1,vulnerabilidad media
21084,12/4/2020,0,0,0,vulnerabilidad muy alta
21085,12/4/2020,10,2,41,vulnerabilidad media
21086,12/4/2020,0,0,0,vulnerabilidad media
21087,12/4/2020,0,0,1,vulnerabilidad baja
21088,12/4/2020,0,0,0,vulnerabilidad baja
21089,12/4/2020,0,0,0,vulnerabilidad media
21090,12/4/2020,0,0,2,vulnerabilidad muy alta
21091,12/4/2020,0,0,0,vulnerabilidad alta
21092,12/4/2020,0,0,0,vulnerabilidad media
21093,12/4/2020,0,0,0,vulnerabilidad baja
21094,12/4/2020,0,0,6,vulnerabilidad baja
21095,12/4/2020,0,0,0,vulnerabilidad baja
21096,12/4/2020,0,0,0,vulnerabilidad baja
21097,12/4/2020,0,0,0,vulnerabilidad media
21098,12/4/2020,0,0,0,vulnerabilidad media
21099,12/4/2020,0,0,0,vulnerabilidad media
21100,12/4/2020,0,0,0,vulnerabilidad baja
21101,12/4/2020,0,0,0,vulnerabilidad baja
21102,12/4/2020,0,0,0,vulnerabilidad alta
21103,12/4/2020,0,0,0,vulnerabilidad alta
21104,12/4/2020,0,0,0,vulnerabilidad baja
21105,12/4/2020,0,0,0,vulnerabilidad baja
21106,12/4/2020,1,0,3,vulnerabilidad alta
21107,12/4/2020,0,0,0,vulnerabilidad media
21108,12/4/2020,0,0,0,vulnerabilidad baja
21109,12/4/2020,0,0,0,vulnerabilidad baja
21110,12/4/2020,0,0,1,vulnerabilidad media
21111,12/4/2020,0,0,0,vulnerabilidad media
21112,12/4/2020,0,0,0,vulnerabilidad baja
21113,12/4/2020,0,0,1,vulnerabilidad media
21114,12/4/2020,163,13,719,vulnerabilidad media
21115,12/4/2020,0,0,0,vulnerabilidad media
21116,12/4/2020,0,0,1,vulnerabilidad media
21117,12/4/2020,0,0,1,vulnerabilidad media
21118,12/4/2020,0,0,0,vulnerabilidad alta
21119,12/4/2020,23,0,121,vulnerabilidad media
21120,12/4/2020,0,0,0,vulnerabilidad baja
21121,12/4/2020,0,0,0,vulnerabilidad alta
21122,12/4/2020,0,0,0,vulnerabilidad media
21123,12/4/2020,0,0,0,vulnerabilidad media
21124,12/4/2020,0,0,2,vulnerabilidad media
21125,12/4/2020,0,0,0,vulnerabilidad media
21126,12/4/2020,0,0,0,vulnerabilidad alta
21127,12/4/2020,0,0,0,vulnerabilidad alta
21128,12/4/2020,0,0,1,vulnerabilidad baja
21129,12/4/2020,0,0,0,vulnerabilidad baja
21130,12/4/2020,0,0,0,vulnerabilidad media
21131,12/4/2020,0,0,0,vulnerabilidad media
21132,12/4/2020,0,0,5,vulnerabilidad media
21133,12/4/2020,0,0,0,vulnerabilidad baja
21134,12/4/2020,0,0,1,vulnerabilidad alta
21135,12/4/2020,0,0,0,vulnerabilidad baja
21136,12/4/2020,0,0,2,vulnerabilidad baja
21137,12/4/2020,0,0,1,vulnerabilidad media
21138,12/4/2020,0,0,1,No Disponible
21139,12/4/2020,0,0,0,vulnerabilidad media
21140,12/4/2020,12,1,67,vulnerabilidad media
21141,12/4/2020,0,0,1,vulnerabilidad baja
21142,12/4/2020,1,0,3,vulnerabilidad alta
21143,12/4/2020,0,0,2,vulnerabilidad media
21144,12/4/2020,0,0,6,vulnerabilidad muy alta
21145,12/4/2020,0,0,0,vulnerabilidad media
21146,12/4/2020,0,0,0,vulnerabilidad baja
21147,12/4/2020,0,0,0,vulnerabilidad media
21148,12/4/2020,0,0,0,vulnerabilidad media
21149,12/4/2020,0,0,1,vulnerabilidad alta
21150,12/4/2020,0,0,0,vulnerabilidad baja
21151,12/4/2020,0,0,0,vulnerabilidad alta
21152,12/4/2020,0,0,0,vulnerabilidad alta
21153,12/4/2020,0,0,1,vulnerabilidad media
21154,12/4/2020,0,1,2,vulnerabilidad alta
21155,12/4/2020,0,0,0,vulnerabilidad media
21156,12/4/2020,3,3,55,vulnerabilidad alta
21157,12/4/2020,0,0,1,vulnerabilidad media
21158,12/4/2020,0,0,1,vulnerabilidad media
21159,12/4/2020,0,0,0,vulnerabilidad media
21160,12/4/2020,0,0,0,vulnerabilidad baja
21161,12/4/2020,0,0,0,vulnerabilidad baja
21162,12/4/2020,0,0,0,vulnerabilidad media
21163,12/4/2020,0,0,1,vulnerabilidad alta
21164,12/4/2020,0,0,3,vulnerabilidad alta
21165,12/4/2020,0,0,0,vulnerabilidad media
21166,12/4/2020,1,0,2,vulnerabilidad media
21167,12/4/2020,0,0,1,vulnerabilidad media
21168,12/4/2020,0,0,0,vulnerabilidad media
21169,12/4/2020,0,0,3,vulnerabilidad alta
21170,12/4/2020,0,0,1,vulnerabilidad media
21171,12/4/2020,0,0,0,vulnerabilidad media
21172,12/4/2020,1,0,1,vulnerabilidad media
21173,12/4/2020,0,0,0,vulnerabilidad media
21174,12/4/2020,2,0,10,vulnerabilidad alta
21175,12/4/2020,0,0,0,vulnerabilidad media
21176,12/4/2020,0,0,4,vulnerabilidad baja
21177,12/4/2020,0,0,0,vulnerabilidad alta
21178,12/4/2020,0,0,0,vulnerabilidad media
21179,12/4/2020,0,0,1,vulnerabilidad baja
21180,12/4/2020,0,0,0,vulnerabilidad media
21181,12/4/2020,0,0,1,vulnerabilidad alta
21182,12/4/2020,0,0,1,vulnerabilidad alta
21183,12/4/2020,0,0,0,vulnerabilidad media
21184,12/4/2020,0,0,0,vulnerabilidad media
21185,12/4/2020,3,1,4,vulnerabilidad media
21186,12/4/2020,0,0,2,vulnerabilidad baja
21187,12/4/2020,0,0,0,vulnerabilidad media
21188,12/4/2020,0,0,1,vulnerabilidad media
21189,12/4/2020,0,0,0,vulnerabilidad media
21190,12/4/2020,0,0,0,vulnerabilidad media
21191,12/4/2020,7,0,12,vulnerabilidad media
21192,12/4/2020,0,0,0,vulnerabilidad baja
21193,12/4/2020,0,0,0,vulnerabilidad media
21194,12/4/2020,0,0,1,vulnerabilidad alta
21195,12/4/2020,0,0,0,vulnerabilidad media
21196,12/4/2020,0,0,0,vulnerabilidad baja
21197,12/4/2020,0,0,2,vulnerabilidad media
21198,12/4/2020,0,0,0,vulnerabilidad media
21199,12/4/2020,0,0,0,vulnerabilidad media
21200,12/4/2020,0,0,0,vulnerabilidad media
21201,12/4/2020,0,0,0,vulnerabilidad baja
21202,12/4/2020,0,0,0,vulnerabilidad media
21203,12/4/2020,0,0,0,vulnerabilidad baja
21204,12/4/2020,0,0,0,vulnerabilidad media
21205,12/4/2020,0,0,0,vulnerabilidad alta
21206,12/4/2020,0,0,0,vulnerabilidad media
21207,12/4/2020,0,0,0,vulnerabilidad media
21208,12/4/2020,0,0,5,vulnerabilidad baja
21209,12/4/2020,0,0,0,vulnerabilidad alta
21210,12/4/2020,0,0,0,vulnerabilidad baja
21211,12/4/2020,0,0,0,vulnerabilidad alta
21212,12/4/2020,1,1,2,vulnerabilidad media
21213,12/4/2020,0,0,0,vulnerabilidad media
21214,12/4/2020,0,0,1,vulnerabilidad media
21215,12/4/2020,0,0,0,vulnerabilidad baja
21216,12/4/2020,0,0,0,vulnerabilidad baja
21217,12/4/2020,0,0,0,vulnerabilidad media
22001,12/4/2020,0,0,2,vulnerabilidad media
22002,12/4/2020,0,0,2,vulnerabilidad media
22003,12/4/2020,0,0,1,vulnerabilidad media
22004,12/4/2020,0,0,5,vulnerabilidad media
22005,12/4/2020,0,0,2,vulnerabilidad baja
22006,12/4/2020,4,0,40,vulnerabilidad baja
22007,12/4/2020,0,0,4,vulnerabilidad media
22008,12/4/2020,0,0,2,sin vulnerabilidad
22009,12/4/2020,0,0,5,vulnerabilidad baja
22010,12/4/2020,0,0,0,vulnerabilidad media
22011,12/4/2020,5,1,39,vulnerabilidad baja
22012,12/4/2020,0,1,3,vulnerabilidad baja
22013,12/4/2020,0,1,2,vulnerabilidad media
22014,12/4/2020,48,2,366,vulnerabilidad baja
22015,12/4/2020,0,0,0,sin vulnerabilidad
22016,12/4/2020,1,0,35,vulnerabilidad baja
22017,12/4/2020,1,0,4,vulnerabilidad media
22018,12/4/2020,0,0,1,vulnerabilidad media
23001,12/4/2020,6,0,43,vulnerabilidad baja
23002,12/4/2020,0,0,6,vulnerabilidad media
23003,12/4/2020,1,0,3,vulnerabilidad media
23004,12/4/2020,5,3,55,vulnerabilidad baja
23005,12/4/2020,166,19,533,vulnerabilidad alta
23006,12/4/2020,0,1,6,vulnerabilidad media
23007,12/4/2020,0,0,6,vulnerabilidad media
23008,12/4/2020,42,10,169,vulnerabilidad media
23009,12/4/2020,4,2,9,vulnerabilidad media
23010,12/4/2020,1,0,6,vulnerabilidad baja
23011,12/4/2020,1,0,1,No Disponible
24001,12/4/2020,0,0,1,vulnerabilidad media
24002,12/4/2020,0,0,1,vulnerabilidad media
24003,12/4/2020,1,0,4,vulnerabilidad media
24004,12/4/2020,0,0,0,vulnerabilidad media
24005,12/4/2020,0,0,3,vulnerabilidad baja
24006,12/4/2020,0,0,1,vulnerabilidad media
24007,12/4/2020,0,0,3,sin vulnerabilidad
24008,12/4/2020,0,0,5,vulnerabilidad baja
24009,12/4/2020,0,0,1,vulnerabilidad baja
24010,12/4/2020,0,0,2,vulnerabilidad media
24011,12/4/2020,1,1,18,vulnerabilidad baja
24012,12/4/2020,0,0,0,vulnerabilidad media
24013,12/4/2020,0,0,62,vulnerabilidad baja
24014,12/4/2020,0,0,1,vulnerabilidad media
24015,12/4/2020,0,0,5,vulnerabilidad media
24016,12/4/2020,0,0,1,vulnerabilidad media
24017,12/4/2020,0,0,1,vulnerabilidad media
24018,12/4/2020,0,0,2,vulnerabilidad media
24019,12/4/2020,0,0,1,vulnerabilidad media
24020,12/4/2020,3,1,24,vulnerabilidad baja
24021,12/4/2020,0,0,3,vulnerabilidad media
24022,12/4/2020,0,0,0,vulnerabilidad media
24023,12/4/2020,0,0,2,vulnerabilidad media
24024,12/4/2020,0,2,21,vulnerabilidad media
24025,12/4/2020,0,0,5,vulnerabilidad media
24026,12/4/2020,0,0,0,vulnerabilidad media
24027,12/4/2020,0,0,0,vulnerabilidad baja
24028,12/4/2020,45,8,603,vulnerabilidad baja
24029,12/4/2020,0,0,2,vulnerabilidad media
24030,12/4/2020,0,0,2,vulnerabilidad media
24031,12/4/2020,0,0,2,vulnerabilidad media
24032,12/4/2020,0,0,4,vulnerabilidad media
24033,12/4/2020,0,0,0,vulnerabilidad baja
24034,12/4/2020,0,0,0,vulnerabilidad media
24035,12/4/2020,2,1,73,vulnerabilidad baja
24036,12/4/2020,0,1,3,vulnerabilidad media
24037,12/4/2020,0,0,16,vulnerabilidad media
24038,12/4/2020,0,0,1,vulnerabilidad media
24039,12/4/2020,0,1,2,vulnerabilidad media
24040,12/4/2020,0,1,8,vulnerabilidad media
24041,12/4/2020,0,0,0,vulnerabilidad media
24042,12/4/2020,0,0,0,vulnerabilidad media
24043,12/4/2020,0,0,1,vulnerabilidad media
24044,12/4/2020,0,0,2,vulnerabilidad media
24045,12/4/2020,0,0,1,vulnerabilidad media
24046,12/4/2020,0,0,0,vulnerabilidad baja
24047,12/4/2020,0,0,2,vulnerabilidad media
24048,12/4/2020,0,0,1,vulnerabilidad media
24049,12/4/2020,0,0,5,vulnerabilidad media
24050,12/4/2020,0,0,4,vulnerabilidad baja
24051,12/4/2020,0,1,9,vulnerabilidad media
24052,12/4/2020,0,1,2,vulnerabilidad media
24053,12/4/2020,0,0,10,vulnerabilidad media
24054,12/4/2020,0,0,2,vulnerabilidad media
24055,12/4/2020,0,0,2,vulnerabilidad media
24056,12/4/2020,0,0,1,vulnerabilidad media
24057,12/4/2020,0,0,3,vulnerabilidad media
24058,12/4/2020,0,0,0,vulnerabilidad baja
25001,12/4/2020,14,6,123,sin vulnerabilidad
25002,12/4/2020,0,0,5,sin vulnerabilidad
25003,12/4/2020,0,0,2,vulnerabilidad media
25004,12/4/2020,0,0,2,vulnerabilidad baja
25005,12/4/2020,1,0,3,vulnerabilidad baja
25006,12/4/2020,170,22,617,vulnerabilidad media
25007,12/4/2020,0,0,1,vulnerabilidad media
25008,12/4/2020,1,1,3,vulnerabilidad baja
25009,12/4/2020,1,0,15,vulnerabilidad media
25010,12/4/2020,3,1,16,vulnerabilidad media
25011,12/4/2020,3,2,37,vulnerabilidad baja
25012,12/4/2020,18,2,181,vulnerabilidad baja
25013,12/4/2020,0,0,6,vulnerabilidad media
25014,12/4/2020,0,0,4,vulnerabilidad baja
25015,12/4/2020,7,0,42,sin vulnerabilidad
25016,12/4/2020,0,0,0,vulnerabilidad baja
25017,12/4/2020,1,0,4,vulnerabilidad baja
25018,12/4/2020,9,2,39,vulnerabilidad baja
26001,12/4/2020,0,0,0,sin vulnerabilidad
26002,12/4/2020,0,1,10,vulnerabilidad baja
26003,12/4/2020,0,0,0,vulnerabilidad media
26004,12/4/2020,0,0,0,vulnerabilidad baja
26005,12/4/2020,0,0,0,vulnerabilidad baja
26006,12/4/2020,0,0,0,vulnerabilidad baja
26007,12/4/2020,0,0,0,vulnerabilidad baja
26008,12/4/2020,0,0,1,sin vulnerabilidad
26009,12/4/2020,0,0,0,sin vulnerabilidad
26010,12/4/2020,0,0,0,vulnerabilidad baja
26011,12/4/2020,0,0,0,sin vulnerabilidad
26012,12/4/2020,0,0,5,vulnerabilidad baja
26013,12/4/2020,0,0,0,sin vulnerabilidad
26014,12/4/2020,0,0,1,sin vulnerabilidad
26015,12/4/2020,0,0,0,vulnerabilidad media
26016,12/4/2020,0,0,0,vulnerabilidad baja
26017,12/4/2020,2,0,20,vulnerabilidad media
26018,12/4/2020,7,3,94,sin vulnerabilidad
26019,12/4/2020,0,0,2,vulnerabilidad baja
26020,12/4/2020,0,0,0,vulnerabilidad baja
26021,12/4/2020,0,0,0,vulnerabilidad media
26022,12/4/2020,0,0,0,sin vulnerabilidad
26023,12/4/2020,0,0,0,sin vulnerabilidad
26024,12/4/2020,0,0,0,sin vulnerabilidad
26025,12/4/2020,0,1,6,vulnerabilidad baja
26026,12/4/2020,0,0,4,vulnerabilidad media
26027,12/4/2020,0,0,1,sin vulnerabilidad
26028,12/4/2020,0,0,0,sin vulnerabilidad
26029,12/4/2020,2,0,23,vulnerabilidad baja
26030,12/4/2020,23,5,290,sin vulnerabilidad
26031,12/4/2020,0,0,0,vulnerabilidad baja
26032,12/4/2020,0,0,0,sin vulnerabilidad
26033,12/4/2020,6,2,17,vulnerabilidad media
26034,12/4/2020,0,0,1,sin vulnerabilidad
26035,12/4/2020,0,0,0,vulnerabilidad baja
26036,12/4/2020,3,1,7,sin vulnerabilidad
26037,12/4/2020,0,0,0,vulnerabilidad baja
26038,12/4/2020,0,0,0,sin vulnerabilidad
26039,12/4/2020,0,0,0,vulnerabilidad media
26040,12/4/2020,0,0,0,vulnerabilidad baja
26041,12/4/2020,0,0,2,vulnerabilidad baja
26042,12/4/2020,4,1,35,vulnerabilidad media
26043,12/4/2020,2,1,53,vulnerabilidad media
26044,12/4/2020,0,0,0,vulnerabilidad media
26045,12/4/2020,1,0,2,sin vulnerabilidad
26046,12/4/2020,0,0,0,sin vulnerabilidad
26047,12/4/2020,0,0,1,vulnerabilidad baja
26048,12/4/2020,0,0,7,vulnerabilidad baja
26049,12/4/2020,0,0,0,vulnerabilidad media
26050,12/4/2020,0,0,0,sin vulnerabilidad
26051,12/4/2020,0,0,0,vulnerabilidad baja
26052,12/4/2020,0,0,1,vulnerabilidad baja
26053,12/4/2020,0,0,0,vulnerabilidad baja
26054,12/4/2020,0,0,0,vulnerabilidad alta
26055,12/4/2020,17,1,89,vulnerabilidad media
26056,12/4/2020,0,0,0,vulnerabilidad media
26057,12/4/2020,0,0,0,vulnerabilidad baja
26058,12/4/2020,0,0,2,sin vulnerabilidad
26059,12/4/2020,0,0,0,vulnerabilidad baja
26060,12/4/2020,2,0,2,vulnerabilidad media
26061,12/4/2020,0,0,0,vulnerabilidad media
26062,12/4/2020,0,0,0,vulnerabilidad baja
26063,12/4/2020,0,0,0,vulnerabilidad baja
26064,12/4/2020,0,0,0,vulnerabilidad baja
26065,12/4/2020,0,0,0,sin vulnerabilidad
26066,12/4/2020,0,0,1,sin vulnerabilidad
26067,12/4/2020,0,0,1,sin vulnerabilidad
26068,12/4/2020,0,0,0,vulnerabilidad baja
26069,12/4/2020,0,0,0,vulnerabilidad media
26070,12/4/2020,0,0,0,No Disponible
26071,12/4/2020,0,0,0,vulnerabilidad baja
26072,12/4/2020,0,0,0,vulnerabilidad media
27001,12/4/2020,1,0,10,vulnerabilidad media
27002,12/4/2020,5,2,44,vulnerabilidad media
27003,12/4/2020,1,0,10,vulnerabilidad media
27004,12/4/2020,111,8,603,vulnerabilidad alta
27005,12/4/2020,8,1,64,vulnerabilidad baja
27006,12/4/2020,0,0,12,vulnerabilidad media
27007,12/4/2020,3,0,12,vulnerabilidad baja
27008,12/4/2020,1,0,7,vulnerabilidad media
27009,12/4/2020,6,2,11,vulnerabilidad media
27010,12/4/2020,1,0,20,vulnerabilidad baja
27011,12/4/2020,0,0,1,vulnerabilidad baja
27012,12/4/2020,1,0,7,vulnerabilidad media
27013,12/4/2020,8,1,59,vulnerabilidad baja
27014,12/4/2020,3,1,48,sin vulnerabilidad
27015,12/4/2020,1,0,4,vulnerabilidad media
27016,12/4/2020,0,1,5,vulnerabilidad media
27017,12/4/2020,2,0,48,vulnerabilidad media
28001,12/4/2020,0,0,1,sin vulnerabilidad
28002,12/4/2020,0,0,1,vulnerabilidad media
28003,12/4/2020,2,1,19,sin vulnerabilidad
28004,12/4/2020,0,0,0,vulnerabilidad media
28005,12/4/2020,0,0,0,vulnerabilidad media
28006,12/4/2020,0,0,0,vulnerabilidad media
28007,12/4/2020,0,0,0,vulnerabilidad baja
28008,12/4/2020,0,0,0,vulnerabilidad media
28009,12/4/2020,5,0,60,vulnerabilidad baja
28010,12/4/2020,0,0,0,vulnerabilidad media
28011,12/4/2020,0,0,0,vulnerabilidad media
28012,12/4/2020,0,0,4,vulnerabilidad media
28013,12/4/2020,0,0,0,vulnerabilidad media
28014,12/4/2020,0,0,0,sin vulnerabilidad
28015,12/4/2020,0,0,0,vulnerabilidad baja
28016,12/4/2020,0,0,0,vulnerabilidad media
28017,12/4/2020,0,0,2,vulnerabilidad media
28018,12/4/2020,0,0,1,vulnerabilidad baja
28019,12/4/2020,0,0,0,vulnerabilidad media
28020,12/4/2020,0,0,0,vulnerabilidad media
28021,12/4/2020,1,0,27,vulnerabilidad baja
28022,12/4/2020,6,2,85,sin vulnerabilidad
28023,12/4/2020,0,0,0,vulnerabilidad baja
28024,12/4/2020,0,0,0,sin vulnerabilidad
28025,12/4/2020,0,0,0,sin vulnerabilidad
28026,12/4/2020,0,0,0,vulnerabilidad media
28027,12/4/2020,8,3,55,vulnerabilidad media
28028,12/4/2020,0,0,0,vulnerabilidad baja
28029,12/4/2020,0,0,1,vulnerabilidad media
28030,12/4/2020,0,0,1,vulnerabilidad media
28031,12/4/2020,0,0,0,vulnerabilidad media
28032,12/4/2020,14,4,119,sin vulnerabilidad
28033,12/4/2020,5,2,24,vulnerabilidad media
28034,12/4/2020,0,1,2,vulnerabilidad media
28035,12/4/2020,0,0,4,vulnerabilidad media
28036,12/4/2020,0,0,0,vulnerabilidad media
28037,12/4/2020,0,1,4,vulnerabilidad media
28038,12/4/2020,10,1,78,vulnerabilidad baja
28039,12/4/2020,0,0,1,vulnerabilidad media
28040,12/4/2020,0,0,3,sin vulnerabilidad
28041,12/4/2020,5,0,81,sin vulnerabilidad
28042,12/4/2020,0,0,0,vulnerabilidad media
28043,12/4/2020,0,0,3,vulnerabilidad media
29001,12/4/2020,0,0,3,vulnerabilidad baja
29002,12/4/2020,0,0,9,vulnerabilidad media
29003,12/4/2020,1,0,2,vulnerabilidad baja
29004,12/4/2020,0,0,2,vulnerabilidad media
29005,12/4/2020,4,0,41,vulnerabilidad media
29006,12/4/2020,0,0,9,vulnerabilidad baja
29007,12/4/2020,0,0,5,vulnerabilidad media
29008,12/4/2020,0,0,0,vulnerabilidad baja
29009,12/4/2020,0,0,4,vulnerabilidad baja
29010,12/4/2020,0,0,29,vulnerabilidad media
29011,12/4/2020,0,0,0,sin vulnerabilidad
29012,12/4/2020,0,0,2,vulnerabilidad baja
29013,12/4/2020,8,3,26,vulnerabilidad baja
29014,12/4/2020,3,1,9,sin vulnerabilidad
29015,12/4/2020,0,0,6,sin vulnerabilidad
29016,12/4/2020,1,0,3,vulnerabilidad baja
29017,12/4/2020,0,0,0,vulnerabilidad alta
29018,12/4/2020,0,0,7,vulnerabilidad alta
29019,12/4/2020,0,0,5,vulnerabilidad alta
29020,12/4/2020,0,0,0,vulnerabilidad baja
29021,12/4/2020,0,0,2,sin vulnerabilidad
29022,12/4/2020,0,0,0,vulnerabilidad baja
29023,12/4/2020,0,0,6,vulnerabilidad alta
29024,12/4/2020,2,0,8,vulnerabilidad alta
29025,12/4/2020,0,0,6,vulnerabilidad alta
29026,12/4/2020,2,0,6,vulnerabilidad baja
29027,12/4/2020,0,0,7,vulnerabilidad alta
29028,12/4/2020,3,0,10,vulnerabilidad alta
29029,12/4/2020,0,0,2,vulnerabilidad media
29030,12/4/2020,0,0,0,vulnerabilidad baja
29031,12/4/2020,1,0,14,sin vulnerabilidad
29032,12/4/2020,0,0,2,vulnerabilidad baja
29033,12/4/2020,5,1,71,vulnerabilidad media
29034,12/4/2020,0,0,5,vulnerabilidad baja
29035,12/4/2020,0,0,1,vulnerabilidad baja
29036,12/4/2020,1,0,8,vulnerabilidad media
29037,12/4/2020,0,0,0,vulnerabilidad baja
29038,12/4/2020,0,0,2,vulnerabilidad baja
29039,12/4/2020,1,0,7,vulnerabilidad baja
29040,12/4/2020,0,0,3,sin vulnerabilidad
29041,12/4/2020,1,0,11,vulnerabilidad alta
29042,12/4/2020,0,0,3,vulnerabilidad media
29043,12/4/2020,2,0,16,vulnerabilidad baja
29044,12/4/2020,3,0,16,vulnerabilidad media
29045,12/4/2020,0,0,2,vulnerabilidad baja
29046,12/4/2020,0,0,0,vulnerabilidad baja
29047,12/4/2020,0,0,0,sin vulnerabilidad
29048,12/4/2020,0,0,2,vulnerabilidad baja
29049,12/4/2020,0,0,1,vulnerabilidad media
29050,12/4/2020,0,0,0,vulnerabilidad media
29051,12/4/2020,0,0,1,vulnerabilidad media
29052,12/4/2020,0,0,1,vulnerabilidad baja
29053,12/4/2020,0,0,1,vulnerabilidad alta
29054,12/4/2020,0,0,1,vulnerabilidad baja
29055,12/4/2020,0,0,1,vulnerabilidad media
29056,12/4/2020,0,0,0,vulnerabilidad media
29057,12/4/2020,0,0,1,vulnerabilidad media
29058,12/4/2020,0,0,1,vulnerabilidad media
29059,12/4/2020,1,1,3,vulnerabilidad media
29060,12/4/2020,1,0,1,vulnerabilidad alta
30001,12/4/2020,0,0,0,vulnerabilidad media
30002,12/4/2020,0,0,0,sin vulnerabilidad
30003,12/4/2020,0,0,3,vulnerabilidad alta
30004,12/4/2020,0,0,7,vulnerabilidad baja
30005,12/4/2020,0,0,0,vulnerabilidad baja
30006,12/4/2020,0,1,3,vulnerabilidad alta
30007,12/4/2020,0,0,1,vulnerabilidad media
30008,12/4/2020,0,0,0,vulnerabilidad alta
30009,12/4/2020,0,0,1,vulnerabilidad baja
30010,12/4/2020,0,0,0,vulnerabilidad media
30011,12/4/2020,1,1,22,vulnerabilidad media
30012,12/4/2020,0,0,2,vulnerabilidad media
30013,12/4/2020,0,0,2,vulnerabilidad alta
30014,12/4/2020,1,0,6,vulnerabilidad muy alta
30015,12/4/2020,0,0,0,vulnerabilidad alta
30016,12/4/2020,1,0,19,vulnerabilidad media
30017,12/4/2020,0,0,0,vulnerabilidad media
30018,12/4/2020,0,0,0,vulnerabilidad media
30019,12/4/2020,0,0,0,vulnerabilidad media
30020,12/4/2020,0,0,0,vulnerabilidad media
30021,12/4/2020,0,0,2,vulnerabilidad media
30022,12/4/2020,0,0,2,vulnerabilidad alta
30023,12/4/2020,0,0,0,vulnerabilidad media
30024,12/4/2020,0,0,0,sin vulnerabilidad
30025,12/4/2020,0,0,1,vulnerabilidad baja
30026,12/4/2020,0,0,5,vulnerabilidad media
30027,12/4/2020,0,0,0,vulnerabilidad media
30028,12/4/2020,15,1,102,vulnerabilidad alta
30029,12/4/2020,0,0,0,vulnerabilidad media
30030,12/4/2020,0,0,3,vulnerabilidad muy alta
30031,12/4/2020,0,0,1,vulnerabilidad media
30032,12/4/2020,0,0,3,vulnerabilidad baja
30033,12/4/2020,0,0,0,vulnerabilidad alta
30034,12/4/2020,0,1,2,vulnerabilidad alta
30035,12/4/2020,0,0,0,vulnerabilidad media
30036,12/4/2020,0,0,0,vulnerabilidad media
30037,12/4/2020,0,0,0,vulnerabilidad media
30038,12/4/2020,0,0,5,vulnerabilidad media
30039,12/4/2020,4,0,109,vulnerabilidad media
30040,12/4/2020,0,0,2,vulnerabilidad alta
30041,12/4/2020,0,0,0,vulnerabilidad media
30042,12/4/2020,0,0,1,vulnerabilidad media
30043,12/4/2020,0,0,0,vulnerabilidad alta
30044,12/4/2020,2,1,57,vulnerabilidad alta
30045,12/4/2020,0,0,10,vulnerabilidad media
30046,12/4/2020,0,0,0,vulnerabilidad baja
